Network,Station,Latitude,Longitude,Distance_in_Degrees,arrival_time_P,arrival_time_PcP,arrival_time_S,arrival_time_ScS,arrival_time_PcS,arrival_time_ScP
KG,AJD,34.74789,126.12384,45.18171828057968,450.717795,540.110184,813.371241,990.718649,775.040627,723.665901
KG,BBK,35.57979,129.43559,44.42927855222578,444.920455,537.471535,802.753667,985.828255,771.89588,720.542955
KG,BGD,34.16003,126.55552,44.4957792246554,445.434387,537.70369,803.694376,986.258492,772.173001,720.81811
KG,BOG,35.70143,129.20666,44.62810668391951,446.456138,538.166255,805.564922,987.115753,772.724917,721.366128
KG,BRN,37.9712,124.6352,48.51211485963725,475.912436,552.088759,859.680004,1012.929392,789.176859,737.718414
KG,BRS,37.9172,124.69,48.4431037362832,475.398073,551.835802,858.7319,1012.460186,788.880734,737.423806
KG,CGD,35.6075,128.84267,44.6980252709955,446.995517,538.41099,806.552565,987.569323,773.016777,721.655954
KG,CGU,35.8194,129.26982,44.70408422587719,447.042243,538.432208,806.638128,987.608648,773.042078,721.681078
KG,CHNB,38.27096,127.1211,47.68850188660894,469.751998,549.082568,848.332558,1007.353739,785.650909,734.21121
KG,CHS,36.18113,129.08811,45.09060244207899,450.017862,539.789281,812.088616,990.123861,774.658764,723.286623
KG,CRB,37.38989,127.9589,46.59166223907803,461.476773,545.123143,833.113955,1000.011709,780.98461,729.571885
KG,DES,36.14899,129.30649,44.974239925643616,449.123136,539.380012,810.449361,989.365292,774.171508,722.802691
KG,DKJ,35.94675,129.10892,44.87981891622408,448.396423,539.048369,809.118171,988.750619,773.776475,722.410374
KG,DKJ2,35.96044,129.0925,44.89835204028,448.539113,539.113432,809.379533,988.871208,773.853989,722.487353
KG,DOKDO,37.2393,131.8696,44.968022663402095,449.075304,539.358162,810.361735,989.324795,774.145487,722.776848
KG,DUC,35.74455,129.17576,44.67799273824362,446.841008,538.340847,806.269644,987.439326,772.933144,721.572897
KG,GCN,35.81701,129.13627,44.756701109808816,447.447919,538.616545,807.381014,987.950286,773.261851,721.899317
KG,GHR,34.48651,126.89941,44.605488135886525,446.281578,538.087132,805.245316,986.969114,772.630526,721.27241
KG,GKP1,35.889308,128.606041,45.03848513015081,449.617243,539.605906,811.354586,989.783962,774.44047,723.069815
KG,GKP2,35.890586,128.60658,45.039354664850975,449.623929,539.608964,811.366835,989.789631,774.444111,723.073431
KG,GRE,35.26184,127.44238,45.007198977153074,449.376659,539.495872,810.913813,989.580034,774.309473,722.939712
KG,GSU,35.15513,128.09714,44.62988032983724,446.469825,538.172461,805.589982,987.127253,772.732318,721.373478
KG,HAK,35.92955,129.50037,44.705832712879655,447.055727,538.438332,806.66282,987.619997,773.04938,721.688328
KG,HCH,36.07933,129.30517,44.91447333788703,448.663214,539.170041,809.606852,988.976128,773.921424,722.554324
KG,HDB,35.73368,129.39905,44.57727809862583,446.063815,537.988483,804.846629,986.786288,772.512839,721.15555
KG,HKU,36.61314,127.35813,46.182793861403816,458.370711,543.660409,827.409099,997.299781,779.254354,727.852266
KG,HSB,36.5554,126.63594,46.44772584681071,460.38467,544.607376,831.107605,999.055446,780.374904,728.96588
KG,HWSB,34.97682,126.89941,45.01271040930434,449.419046,539.515251,810.991468,989.615952,774.332547,722.962629
